title	price	listing_url	location	installment	posted_time	year	lower_km	upper_km
[OLXmobbi] Honda Jazz 1.5 RS Bensin-MT 2018 Hitam	202000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-jazz-15-rs-bensin-mt-2018-hitam-iid-922128825	Pasar Minggu	4500000.0	25 Jun	2018.0	45000.0	50000.0
[OLXmobbi] Honda Jazz 1.5 S Bensin-MT 2017 Hitam	169000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-jazz-15-s-bensin-mt-2017-hitam-iid-922231088	Pasar Minggu	3800000.0	25 Jun	2017.0	60000.0	65000.0
[OLXmobbi] _TDP 28JT Honda Jazz 1.5 RS Bensin-AT 2019 Abu	243000000	https://olx.co.id/olxmobbi/item/olxmobbi-tdp-28jt-honda-jazz-15-rs-bensin-at-2019-abu-iid-921345641	Cilandak	5500000.0	25 Jun	2019.0	50000.0	55000.0
[OLXmobbi] TDP 7,JT Honda Jazz 1.5 E Bensin Putih 2012	134000000	https://olx.co.id/olxmobbi/item/olxmobbi-tdp-7jt-honda-jazz-15-e-bensin-putih-2012-iid-921866376	Cilandak	3000000.0	25 Jun	2012.0	75000.0	80000.0
Honda Jazz 2010 S Automatic Putih ANTIK TDP 7 JT	120000000	https://olx.co.id/olxmobbi/item/honda-jazz-2010-s-automatic-putih-antik-tdp-7-jt-iid-922113841	Cilandak	0.0	21 Jun	2010.0	100000.0	105000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Hita	125000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-hita-iid-920470914	Pancoran Mas	2800000.0	25 Jun	2014.0	115000.0	120000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Putih (SMO)	130000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-putih-smo-iid-921054570	Jati Sampurna	2900000.0	25 Jun	2014.0	105000.0	110000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Putih(SMO)	115000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-putihsmo-iid-922138713	Pondok Gede	2600000.0	25 Jun	2014.0	105000.0	110000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Putih (SMO-)	130000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-putih-smo--iid-922268793	Pondok Gede	2900000.0	25 Jun	2014.0	105000.0	110000.0
KM Low Antik Kia Rio Sunroof ABS 2017 Istimewa #aokr#	173000000	https://olx.co.id/olxmobbi/item/km-low-antik-kia-rio-sunroof-abs-2017-istimewa-aokr-iid-921688288	Kramat Jati	0.0	10 Jun	2017.0	25000.0	30000.0
KM Low Antik Kia Rio Sunroof ABS 2017 Istimewa #aopa#	173000000	https://olx.co.id/olxmobbi/item/km-low-antik-kia-rio-sunroof-abs-2017-istimewa-aopa-iid-921688513	Pondok Aren	0.0	10 Jun	2017.0	25000.0	30000.0
DP 20jt // KIA Rio manual 2015 nik 2014	114000000	https://olx.co.id/olxmobbi/item/dp-20jt-kia-rio-manual-2015-nik-2014-iid-918021051	Laweyan	0.0	20 Jun	2015.0	100000.0	105000.0
Kia Rio SE Pride 2010 AT Bensin	65000000	https://olx.co.id/olxmobbi/item/kia-rio-se-pride-2010-at-bensin-iid-922079770	Kalisari	0.0	20 Jun	2010.0	155000.0	
Kia Rio MT 2012 Putih	110000000	https://olx.co.id/olxmobbi/item/kia-rio-mt-2012-putih-iid-922306892	Setu		25 Jun			80000.0
Kia Rio 2000 Bensin	42000000	https://olx.co.id/olxmobbi/item/kia-rio-2000-bensin-iid-922296053	Kramat Jati	0.0	25 Jun	2000.0	155000.0	
Kia All New Rio 2012 MT	90000000	https://olx.co.id/olxmobbi/item/kia-all-new-rio-2012-mt-iid-922293966	Sukmajaya	0.0	25 Jun	2012.0	105000.0	110000.0
