manga_id,url_manga,title,title_english,title_japanese,chapters,volumes,status,start_published,end_published,score,rank,authors,genres,themes
1,https://myanimelist.net/manga/1/Monster,Monster,Monster,MONSTER,162.0,18.0,Finished,1994-12-05T00:00:00+00:00,2001-12-20T00:00:00+00:00,9.16,5,"['Urasawa, Naoki']","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']"
2,https://myanimelist.net/manga/2/Berserk,Berserk,Berserk,ベルセルク,,,Publishing,1989-08-25T00:00:00+00:00,,9.47,1,"['Miura, Kentarou', 'Studio Gaga']","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']"
3,https://myanimelist.net/manga/3/20th_Century_Boys,20th Century Boys,20th Century Boys,20世紀少年,249.0,22.0,Finished,1999-09-27T00:00:00+00:00,2006-04-24T00:00:00+00:00,8.94,17,"['Urasawa, Naoki']","['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']"
4,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,ヨコハマ買い出し紀行,142.0,14.0,Finished,1994-04-25T00:00:00+00:00,2006-02-25T00:00:00+00:00,8.65,75,"['Ashinano, Hitoshi']","['Award Winning', 'Sci-Fi', 'Slice of Life']",['Iyashikei']
7,https://myanimelist.net/manga/7/Hajime_no_Ippo,Hajime no Ippo,Hajime no Ippo: Fighting Spirit!,はじめの一歩,,,Publishing,1989-09-27T00:00:00+00:00,,8.74,50,"['Morikawa, George']","['Award Winning', 'Sports']",['Combat Sports']
8,https://myanimelist.net/manga/8/Full_Moon_wo_Sagashite,Full Moon wo Sagashite,Full Moon wo Sagashite,満月〈フルムーン〉をさがして,35.0,7.0,Finished,2001-12-01T00:00:00+00:00,2004-04-30T00:00:00+00:00,8.02,718,"['Tanemura, Arina']","['Comedy', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Music', 'Showbiz']"
9,https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,ツバサ -RESERVoir CHRoNiCLE-,233.0,28.0,Finished,2003-05-21T00:00:00+00:00,2009-10-07T00:00:00+00:00,8.29,313,['CLAMP'],"['Action', 'Adventure', 'Drama', 'Fantasy']",[]
10,https://myanimelist.net/manga/10/xxxHOLiC,xxxHOLiC,xxxHOLiC,xxxHOLiC,213.0,19.0,Finished,2003-02-24T00:00:00+00:00,2011-02-09T00:00:00+00:00,8.37,237,['CLAMP'],"['Comedy', 'Drama', 'Mystery', 'Supernatural']",[]
